[\sqrt 4 8]
2	0	119
0	6	122
0	14	128
0	46	155
0	73	187
0	85	152
0	87	149
0	96	146
0	100	132
0	103	112
0	114	105
0	114	97
0	119	91
0	123	73
0	132	64
0	132	59
0	146	46
0	147	40
0	150	27
0	160	18
0	162	13
0	162	10
0	185	5
0	242	5
0	255	0
0	294	-1
0	392	-7
0	449	-6
0	436	0
4	433	0
2	210	37
0	201	55
0	195	81
0	196	119
0	187	132
0	182	169
0	182	164
0	231	157
0	247	157
4	278	160
2	251	68
0	256	158
0	255	193
0	260	210
0	264	234
4	264	219
2	333	105
0	324	102
0	326	84
0	333	82
0	339	78
0	346	78
0	349	77
0	353	73
0	387	78
0	401	100
0	395	102
0	389	106
0	374	123
0	324	146
0	319	160
0	313	165
0	313	181
0	319	196
0	337	210
0	366	214
0	370	211
0	396	201
0	406	191
0	410	178
0	411	168
0	409	147
0	399	136
0	370	125
0	327	122
0	324	109
0	316	108
0	314	106
0	314	93
0	316	91
4	333	91
